metric,domain,series,case,mean,std,count
step_efficiency,ItexvsCypress,MiPN_expert,case5,0.029704,0.044437,1000
step_efficiency,ItexvsCypress,MiPN_expert,case6,0.022016,0.025385,1000
step_efficiency,ItexvsCypress,MiPN_general,case1,0.010501,0.014637,1000
step_efficiency,ItexvsCypress,MiPN_general,case2,0.012366,0.016802,1000
step_efficiency,ItexvsCypress,MiPN_general,case3,0.031400,0.046522,1000
step_efficiency,ItexvsCypress,MiPN_general,case4,0.024355,0.038989,1000
step_efficiency,ItexvsCypress,MiPN_general,case5,0.026900,0.044658,1000
step_efficiency,ItexvsCypress,MiPN_general,case6,0.022642,0.025981,1000
step_efficiency,ItexvsCypress,Transformer_expert,case1,0.046352,0.066799,1000
step_efficiency,ItexvsCypress,Transformer_expert,case2,0.046796,0.061100,1000
step_efficiency,ItexvsCypress,Transformer_expert,case3,0.055825,0.081307,1000
step_efficiency,ItexvsCypress,Transformer_expert,case4,0.044034,0.078113,1000
step_efficiency,ItexvsCypress,Transformer_expert,case5,0.055189,0.087183,1000
step_efficiency,ItexvsCypress,Transformer_expert,case6,0.031852,0.042661,1000
step_efficiency,ItexvsCypress,Transformer_general,case1,0.018069,0.027854,1000
step_efficiency,ItexvsCypress,Transformer_general,case2,0.018725,0.029809,1000
step_efficiency,ItexvsCypress,Transformer_general,case3,0.020075,0.029868,1000
step_efficiency,ItexvsCypress,Transformer_general,case4,0.020233,0.030319,1000
step_efficiency,ItexvsCypress,Transformer_general,case5,0.010970,0.010491,1000
step_efficiency,ItexvsCypress,Transformer_general,case6,0.012621,0.012678,1000
step_efficiency,IS_BT_Acquisition,MiPN_expert,case1,0.039000,0.049052,1000
step_efficiency,IS_BT_Acquisition,MiPN_expert,case2,0.044467,0.036433,1000
step_efficiency,IS_BT_Acquisition,MiPN_expert,case3,0.061648,0.061127,1000
step_efficiency,IS_BT_Acquisition,MiPN_expert,case4,0.053653,0.062804,1000
step_efficiency,IS_BT_Acquisition,MiPN_expert,case5,0.034134,0.034997,1000
step_efficiency,IS_BT_Acquisition,MiPN_expert,case6,0.036658,0.033068,1000
step_efficiency,IS_BT_Acquisition,MiPN_general,case1,0.037774,0.040229,1000
step_efficiency,IS_BT_Acquisition,MiPN_general,case2,0.015039,0.010719,1000
step_efficiency,IS_BT_Acquisition,MiPN_general,case3,0.063695,0.053829,1000
step_efficiency,IS_BT_Acquisition,MiPN_general,case4,0.082855,0.069052,1000
step_efficiency,IS_BT_Acquisition,MiPN_general,case5,0.050218,0.058680,1000
step_efficiency,IS_BT_Acquisition,MiPN_general,case6,0.045408,0.038196,1000
step_efficiency,IS_BT_Acquisition,Transformer_expert,case1,0.104022,0.102986,1000
step_efficiency,IS_BT_Acquisition,Transformer_expert,case2,0.076040,0.064675,1000
step_efficiency,IS_BT_Acquisition,Transformer_expert,case3,0.091842,0.089406,1000
step_efficiency,IS_BT_Acquisition,Transformer_expert,case4,0.116592,0.112511,1000
step_efficiency,IS_BT_Acquisition,Transformer_expert,case5,0.090047,0.108382,1000
step_efficiency,IS_BT_Acquisition,Transformer_expert,case6,0.071113,0.070195,1000
step_efficiency,IS_BT_Acquisition,Transformer_general,case1,0.076713,0.093920,1000
step_efficiency,IS_BT_Acquisition,Transformer_general,case2,0.033518,0.044319,1000
step_efficiency,IS_BT_Acquisition,Transformer_general,case3,0.036112,0.052675,1000
